työelämä|the working world
liiketoiminta, bisnes|business
yritys, firma|firm, business
toimisto|office
asiakas|client, customer
ammatti|profession
työ|job
osa-aikainen/kokoaikainen työ/tehtävä|half-time/full-time position
työtön henkilö|unemployed person
työmarkkinat|job market
avoimet työpaikat, ilmoitukset|classified ads
ansioluettelo, CV|résumé
haastattelu|interview
työsuhde-edut|benefits (health insurance, retirement plan, etc.)
palkka|salary
lomapäivät|vacation days
ylennys|promotion
eläke|retirement
eläkeläinen|retired person
ammatit|professions
virkamies, virkailija|civil servant, government worker
posteljooni|mail carrier
sotilas, varusmies, reserviläinen|person in the armed services
poliisi|police officer
palomies, pelastaja|firefighter
opettaja|teacher
sosiaalityöntekijä|social worker
lääkäri, tohtori|doctor, physician
hammaslääkäri|dentist
sairaanhoitaja|nurse
kiropraktikko, fysioterapeutti|chiropractor, physical therapist
psykologi|psychologist
optikko|optician
farmaseutti|pharmacist
lakimies, juristi|lawyer
pankkiiri|banker
toimitusjohtaja, yrittäjä|company head, business owner
pomo|boss
toimitusjohtaja|CEO
esimies, johtaja|executive
kirjanpitäjä|accountant
mainonnan ammattilainen|advertising agent
sihteeri|secretary
työntekijä, toimihenkilö (konttorityöntekijä)|employee (office employee)
työläinen, duunari (informal)|blue collar worker
tehdas|factory
IT-asiantuntija, ohjelmistokehittäjä|computer scientist
insinööri|engineer
un chercheur|researcher
un technicien / une technicienne|technician
un/une propriétaire|owner
un commerçant / une commerçante|shopkeeper, store owner
un vendeur / une vendeuse|salesperson
un caissier / une caissière|cashier
un restaurateur|restaurant owner
un cuisinier / une cuisinière|cook
un serveur / une serveuse|wait person
un boulanger / une boulangère|a baker
un couturier / une couturière|fashion designer, seamstress
un coiffeur / une coiffeuse|hairdresser
un critique (de films, d'art, etc.)|critic (film, art, etc.)
un écrivain|writer
un journaliste|reporter, journalist
un peintre / une peintre|painter
un musicien / une musicienne|musician
un voyagiste / un agent de voyage|travel agent
une femme au foyer|housewife
adjectifs|adjectives
dur(e) / difficile|hard, tough, difficult
dynamique|dynamic
honnête|honest
passionnant(e)|enthralling, fascinating
utile|useful
inutile|useless
d'occasion (une voiture d'occasion)|second-hand, used
verbes|verbs
chercher une situation|to look for a job
faire une demande d'emploi|to apply for a job
prendre un rendez-vous|to make an appointment
remplir un formulaire|to fill out a form
embaucher / être embauché(e)|to hire / to be hired
gérer|to manage, direct, organize
gagner sa vie / gagner de l'argent|to earn a living / to earn money
payer des impôts|to pay taxes
être au chômage|to be unemployed
être à la retraite|to be retired
